"was.resp";"was.cnt";"said.resp";"said.cnt";"have.resp";"have.cnt";"come.resp";"come.cnt";"people.resp";"people.cnt";"other.resp";"other.cnt";"please.resp";"please.cnt";"deadly.resp";"deadly.cnt";"dairy.resp";"dairy.cnt";"young.resp";"young.cnt";"nature.resp";"nature.cnt";"remember.resp";"remember.cnt";"shoulder.resp";"shoulder.cnt";"search.resp";"search.cnt";"country.resp";"country.cnt";"station.resp";"station.cnt";"fortune.resp";"fortune.cnt";"flavour.resp";"flavour.cnt";"science.resp";"science.cnt";"aspire.resp";"aspire.cnt";"language.resp";"language.cnt";"wheat.resp";"wheat.cnt";"neighbour.resp";"neighbour.cnt";"marvellous.resp";"marvellous.cnt";"autism.resp";"autism.cnt";"absolutely.resp";"absolutely.cnt";"societies.resp";"societies.cnt";"analyse.resp";"analyse.cnt";"councillor.resp";"councillor.cnt";"cup.resp";"cup.cnt";"best.resp";"best.cnt";"clip.resp";"clip.cnt";"stem.resp";"stem.cnt";"fond.resp";"fond.cnt";"life.resp";"life.cnt";"strong.resp";"strong.cnt";"grand.resp";"grand.cnt";"scram.resp";"scram.cnt";"shelf.resp";"shelf.cnt";"check.resp";"check.cnt";"swept.resp";"swept.cnt";"without.resp";"without.cnt";"sporty.resp";"sporty.cnt";"understand.resp";"understand.cnt";"ground.resp";"ground.cnt";"blade.resp";"blade.cnt";"subside.resp";"subside.cnt";"yesterday.resp";"yesterday.cnt";"prize.resp";"prize.cnt";"scarper.resp";"scarper.cnt";"impact.resp";"impact.cnt";"selfishly.resp";"selfishly.cnt";"trombone.resp";"trombone.cnt";"property.resp";"property.cnt";"lantern.resp";"lantern.cnt";"demonstrate.resp";"demonstrate.cnt";"judgement.resp";"judgement.cnt";"probably.resp";"probably.cnt";"lep.resp";"lep.cnt";"swem.resp";"swem.cnt";"clep.resp";"clep.cnt";"prond.resp";"prond.cnt";"chust.resp";"chust.cnt";"lirst.resp";"lirst.cnt";"greem.resp";"greem.cnt";"shilf.resp";"shilf.cnt";"grong.resp";"grong.cnt";"lorty.resp";"lorty.cnt";"fize.resp";"fize.cnt";"scade.resp";"scade.cnt";"scrand.resp";"scrand.cnt";"bife.resp";"bife.cnt";"withound.resp";"withound.cnt";"prostand.resp";"prostand.cnt";"strofect.resp";"strofect.cnt";"blarper.resp";"blarper.cnt";"spantern.resp";"spantern.cnt";"underbably.resp";"underbably.cnt";"sombone.resp";"sombone.cnt";"jubside.resp";"jubside.cnt";"yesperty.resp";"yesperty.cnt";"sandstrate.resp";"sandstrate.cnt";"impabit.resp";"impabit.cnt";"perout.resp";"perout.cnt";"trelfishly.resp";"trelfishly.cnt";"proterday.resp";"proterday.cnt";"sudgement.resp";"sudgement.cnt"
"1";860;"1";785;"1";821;"1";776;"1";648;"1";689;"1";635;"1";606;"1";567;"1";587;"1";525;"1";551;"1";471;"1";507;"1";471;"1";475;"1";456;"1";356;"1";376;"1";430;"1";298;"1";352;"1";218;"(no response)";200;"(no response)";209;"(no response)";212;"(no response)";233;"(no response)";230;"(no response)";236;"1";869;"1";848;"1";826;"1";802;"1";771;"1";740;"1";758;"1";790;"1";705;"1";733;"1";626;"1";630;"1";667;"1";674;"1";671;"1";663;"1";601;"1";602;"1";582;"1";516;"1";530;"1";464;"1";530;"1";432;"1";375;"1";493;"1";296;"1";266;"1";245;"1";837;"1";786;"1";750;"1";687;"1";713;"1";573;"1";660;"1";609;"1";630;"1";573;"1";538;"1";593;"1";617;"1";559;"1";519;"1";594;"1";554;"1";381;"1";446;"1";475;"1";398;"1";504;"1";407;"1";425;"1";334;"1";459;"1";413;"1";338;"1";335
"wos";49;"sed";117;"hav";92;"cum";115;"(no response)";38;"(no response)";65;"(no response)";80;"dedly";95;"(no response)";93;"yung";134;"(no response)";106;"(no response)";110;"sholder";227;"serch";140;"(no response)";125;"(no response)";161;"(no response)";151;"flaver";162;"(no response)";162;"(no response)";169;"(no response)";177;"weat";196;"(no response)";185;"1";123;"1";194;"1";104;"1";70;"analise";150;"counciler";92;"(no response)";68;"(no response)";68;"(no response)";71;"(no response)";71;"(no response)";81;"(no response)";93;"(no response)";101;"(no response)";105;"(no response)";104;"(no response)";106;"(no response)";111;"(no response)";115;"(no response)";120;"(no response)";122;"(no response)";125;"(no response)";136;"(no response)";137;"(no response)";149;"(no response)";149;"(no response)";150;"(no response)";171;"(no response)";165;"(no response)";180;"(no response)";186;"(no response)";201;"(no response)";208;"(no response)";210;"(no response)";208;"(no response)";213;"(no response)";93;"(no response)";93;"(no response)";96;"(no response)";103;"(no response)";117;"(no response)";131;"(no response)";126;"(no response)";131;"(no response)";133;"(no response)";133;"(no response)";141;"(no response)";145;"(no response)";149;"(no response)";145;"(no response)";147;"(no response)";159;"(no response)";168;"(no response)";168;"(no response)";173;"(no response)";182;"(no response)";188;"(no response)";189;"(no response)";197;"(no response)";193;"(no response)";198;"(no response)";206;"(no response)";209;"(no response)";208;"(no response)";213
"woz";19;"seb";24;"haf";26;"kum";20;"peepl";24;"uther";35;"pleas";73;"(no response)";87;"dery";60;"(no response)";95;"nacher";65;"rember";109;"(no response)";128;"(no response)";129;"contry";105;"staition";38;"forchoon";43;"(no response)";158;"sience";137;"aspier";76;"languge";44;"(no response)";184;"naber";102;"marvelous";123;"autisum";68;"absolutly";67;"societys";50;"1";90;"1";37;"kup";9;"bes";9;"klip";22;"sem";18;"found";15;"lif";67;"stong";14;"graned";6;"skram";26;"self";23;"chek";81;"sweped";63;"whithout";40;"sportee";16;"undstand";29;"grownd";46;"blad";69;"subsid";49;"yesturday";33;"prise";132;"skarper";30;"inpact";114;"selfishley";18;"trombon";40;"propty";71;"lanten";52;"demenstrate";44;"judgment";91;"probaly";72;"leap";11;"sem";17;"cep";14;"promed";22;"chest";17;"lust";67;"green";61;"chilf";27;"gron";48;"loty";17;"fis";63;"scad";69;"scramed";38;"bif";98;"wifound";37;"crostand";15;"strofet";11;"blaper";83;"spanter";74;"underbadly";24;"somebone";42;"jobside";40;"yesputy";47;"sandstrat";52;"inpabit";63;"prout";32;"troufishly";18;"protoday";111;"sugment";120
"wus";13;"siad";14;"(no response)";11;"com";19;"peple";20;"over";22;"plees";61;"dedlee";28;"deary";26;"yong";70;"natcher";20;"remember";31;"shoder";14;"surch";45;"cuntry";25;"stashon";35;"fourtune";25;"flavor";87;"since";20;"espire";18;"langwig";43;"weet";162;"neibour";43;"marvolous";21;"ortism";23;"absulutly";20;"society";43;"anilise";48;"counseler";26;"cap";7;"bet";8;"cip";9;"steam";14;"fonb";12;"lighf";18;"stronge";13;"grang";6;"sram";15;"shef";17;"chec";75;"swet";32;"withowt";11;"sportey";15;"unstand";13;"grand";18;"blayd";44;"supside";21;"yestday";32;"pris";47;"scaper";26;"inpacked";34;"selfish";15;"tronbone";30;"propety";53;"lanturn";31;"demonstraight";25;"jujment";85;"probly";67;"lept";7;"swen";17;"clap";11;"brond";11;"cust";17;"lerst1";21;"grem";55;"shif";24;"grom";19;"laughty";13;"fiz";44;"skad";18;"scraned";18;"bith";42;"withond";33;"crosstand";8;"strowfect";10;"blapa";21;"spanten";39;"underbable";13;"sonbone";42;"jumpside";34;"yespty";25;"sanstrat";14;"imperbit";40;"parout";10;"trefishly";16;"protaday";55;"sugement";32
"wuz";9;"sad";8;"has";6;"(no response)";18;"people";15;"uver";15;"ples";32;"dedle";16;"deree";24;"yun";18;"naicher";14;"remeber";8;"shouder";8;"seach";19;"contrey";15;"stashen";15;"forchon";15;"flayver";13;"siens";18;"asspire";16;"languege";23;"wheet";26;"neighbor";39;"marvles";16;"ortisum";22;"absaloutly";17;"susiaties";9;"analize";37;"councler";25;"c";5;"dest";6;"clipe";5;"sten";10;"fod";11;"live";14;"stron";10;"gand";5;"scam";13;"shalf";7;"cheak";10;"sweat";12;"wifout";9;"spoty";15;"undastand";7;"grond";10;"blaid";36;"subsied";17;"yestoday";19;"price";20;"scarpa";24;"impacked";25;"shelfishly";11;"trumbone";30;"propity";47;"lantan";16;"demonstrat";25;"jugement";60;"probely";25;"lp";5;"swam";8;"clept";7;"proned";11;"just";11;"lurst";17;"gream";7;"shelf";15;"grog";15;"lote";13;"fise";16;"skade";8;"scramd";13;"bithe";11;"withand";13;"prostaned";8;"stofect";9;"larper";12;"spanton";23;"undebably";10;"sombon";32;"jubsid";26;"yesputty";22;"sanstrate";14;"inhabit";18;"porout";8;"tralfishly";11;"protday";32;"sudment";28
"waz";8;"(no response)";7;"haz";4;"cam";8;"peaple";13;"uvu";12;"plese";29;"dedley";11;"dary";19;"yug";10;"naycher";13;"rmember";7;"shod";7;"sherch";16;"cunchree";15;"stasion";15;"fortun";13;"flavore";11;"scince";14;"aspir";15;"langwige";21;"wet";23;"nabour";38;"marvalous";15;"autisom";19;"absoloutly";14;"sosieties";8;"analis";24;"counsiler";23;"cupe";5;"beast";5;"cklip";4;"sdem";8;"foned";9;"lf";7;"srong";8;"grad";5;"scran";10;"shelth";6;"cheack";7;"sept";10;"withaut";6;"spote";10;"u";6;"groud";9;"blaed";8;"supsid";6;"yesday";16;"pries";13;"scarpar";6;"inpaced";12;"selfishle";7;"trombo";20;"propaty";44;"lantn";15;"demonstrait";23;"gugment";24;"proberly";23;"leb";4;"swim";8;"clip";7;"crond";10;"tust";8;"learst";15;"greme";6;"silf";13;"wrong";13;"lotee";13;"fies";11;"scaed";6;"scrande";10;"fife";10;"withoud";7;"prosthand";8;"strawfect";9;"bloper";10;"spanta";13;"underbaly";9;"sumbone";29;"gubsid";8;"yespety";15;"sandstraight";10;"inpapit";11;"herout";7;"twelfishly";11;"proteday";14;"sujment";11
"whas";8;"sead";5;"ha";3;"came";7;"pepole";13;"u";8;"pees";8;"dely";8;"derey";16;"yang";8;"nacha";12;"reememb";6;"shold";6;"such";16;"cunchry";12;"staion";12;"fochoon";11;"flava";8;"sins";12;"espier";14;"langwich";19;"wit";15;"nabor";16;"marvelouse";11;"autisim";18;"absoulutly";13;"susietys";8;"anlis";20;"counciller";22;"cip";3;"bed";3;"clp";4;"stemp";7;"fund";8;"lief";6;"s";4;"gran";4;"sgram";7;"shaf";5;"ceck";6;"sweapt";10;"wivout";6;"sport";9;"undrstand";5;"grawnd";7;"blayed";6;"s";5;"yestaday";10;"priz";11;"s";5;"inpackt";10;"sefishly";6;"trombow";14;"proptey";15;"lanton";14;"demenstrat";14;"judement";15;"probally";17;"lepe";4;"smem";5;"colep";6;"pond";8;"chus";6;"lerst";15;"grim";5;"shilth";11;"brong";11;"louty";13;"thise";8;"skade1";6;"sgrand";7;"bief";6;"wiffound";6;"prosand";6;"strafect";6;"plarper";10;"spamtern";10;"underblably";9;"sunbone";26;"jupside";8;"yesberty";12;"sandstright";9;"impavit";8;"pout";6;"trollfishly";7;"protiday";12;"suchment";6
"(no response)";7;"z";5;"had";3;"cume";5;"peepul";11;"uthe";8;"pleese";8;"deadley";7;"diary";16;"younge";5;"nater";8;"reemember";6;"sholda";6;"sirch";10;"conchry";11;"stashn";10;"forchune";11;"flaiver";7;"sinse";8;"asper";11;"langwij";18;"wete";4;"neigbour";12;"marvlus";10;"ortisem";17;"absoutly";10;"s";5;"annalise";20;"counsler";22;"cook";3;"besd";3;"click";3;"s";6;"font";7;"lef";3;"son";4;"grande";4;"scramp";6;"shellf";5;"chech";5;"swepd";10;"withat";5;"sptee";5;"undurstand";5;"grouned";6;"bled";6;"subcide";5;"yesderday";7;"prighs";8;"scarp";5;"inpat";10;"selfly";6;"trobone";11;"propoty";13;"lantun";14;"demenstrait";13;"judjment";15;"probley";16;"let";4;"srem";4;"cle";5;"prod";8;"chused";6;"lrst";13;"geem";4;"shef";6;"grond";10;"lauty";8;"fiss";7;"scat";4;"scand";5;"biffe";6;"whithound";5;"prostan";6;"strfect";6;"blarpa";9;"spantn";10;"undbably";8;"sonbon";10;"gubside";7;"yesperte";8;"sandstreet";8;"imbabit";7;"perat";5;"troulfishly";7;"proday";6;"sujmunt";5
"wo";3;"seid";4;"hath";3;"c";3;"pepol";11;"uv";7;"p";7;"delee";6;"darey";14;"yune";4;"natur";8;"reamember";5;"should";6;"shearch";6;"contery";8;"stayshun";9;"forchun";10;"flavar";7;"siance";7;"aspia";8;"langue";11;"whete";4;"nayber";11;"marvoles";10;"autisem";13;"absalutly";9;"society's";5;"analies";19;"counceler";20;"ckup";2;"beste";3;"cilp";2;"steme";4;"fon";5;"f";2;"strog";4;"granb";3;"scrame";5;"s";4;"check";4;"swep";9;"withot";5;"sparty";4;"und";4;"grd";5;"blead";5;"subsighd";5;"yestarday";6;"pis";6;"scoper";5;"impaced";9;"s";5;"trombown";9;"proptee";7;"lantin";11;"deminstrate";12;"jujmunt";13;"probebly";14;"lemp";3;"swm";4;"c";3;"promd";7;"chast";4;"lest";11;"creem";3;"shulf";5;"gronge";5;"luty";8;"fist";7;"sced";4;"srand";5;"biff";5;"wifownd";5;"postand";5;"strothect";6;"blarber";8;"spantan";9;"underbabling";6;"sombo";6;"jupsid";7;"yesptee";7;"sanstraight";6;"impabet";7;"perote";5;"trofishly";6;"protyday";5;"subment";4
"m";2;"side";4;"have";3;"cm";3;"pepl";10;"outher";6;"plis";6;"b";5;"dariy";12;"u";3;"n";7;"r";3;"solder";6;"sech";5;"cuntree";8;"staishon";8;"foutune";8;"flayfer";7;"sicence";7;"aspyer";8;"languige";10;"w";3;"naiber";10;"marvlous";9;"ortisom";12;"absolutley";8;"susiates";5;"anlise";17;"councilor";19;"cop";2;"b";2;"cla";2;"stm";4;"fonde";5;"laf";2;"schrong";3;"grand";3;"s";4;"shelve";4;"cec";3;"set";7;"wivt";5;"sporte";4;"undersand";4;"grnd";5;"b";4;"sudsid";5;"yestrday";5;"pize";5;"skaper";5;"impack";9;"selfishlee";5;"tombone";7;"propte";6;"lanter";10;"demstrat";11;"judment";9;"probily";13;"lepp";3;"suem";3;"celep";3;"pronde";7;"chist";4;"lerst 1";7;"gree";3;"sif";5;"gon";4;"laughty1";7;"thighs";7;"scid";4;"sramed";4;"bieth";4;"withoun";5;"frostand";4;"strofact";4;"blarker";8;"spant";8;"underbaply";6;"sobon";4;"jumside";6;"yespurty";7;"sandstraight1";5;"inbabit";7;"proot";5;"trowfishly";6;"brotaday";4;"s";3
