"Item","Scale","Age"
"please","Irregs","<= 7;5"
"other","Irregs","<= 8;5"
"please","Irregs","<= 8;5"
"deadly","Irregs","<= 8;5"
"young","Irregs","<= 9;5"
"other","Irregs","<= 9;5"
"search","Irregs","<= 9;5"
"country","Irregs","<= 10;5"
"fortune","Irregs","<= 10;5"
"search","Irregs","10;6+"
"fortune","Irregs","10;6+"
"country","Irregs","10;6+"
"station","Irregs","10;6+"
"aspire","Irregs","10;6+"
"shoulder","Irregs","10;6+"
"flavour","Irregs","10;6+"
"neighbour","Irregs","10;6+"
"grand","Regs","<= 7;5"
"without","Regs","<= 7;5"
"strong","Regs","<= 7;5"
"best","Regs","<= 7;5"
"fond","Regs","<= 7;5"
"understand","Regs","<= 8;5"
"shelf","Regs","<= 8;5"
"blade","Regs","<= 9;5"
"sporty","Regs","<= 9;5"
"understand","Regs","<= 9;5"
"strong","Regs","<= 9;5"
"shelf","Regs","<= 9;5"
"check","Regs","<= 10;5"
"shelf","Regs","<= 10;5"
"subside","Regs","<= 10;5"
"sporty","Regs","<= 10;5"
"life","Regs","<= 10;5"
"clip","Regs","<= 10;5"
"selfishly","Regs","<= 10;5"
"best","Regs","<= 10;5"
"scarper","Regs","<= 10;5"
"check","Regs","10;6+"
"selfishly","Regs","10;6+"
"impact","Regs","10;6+"
"property","Regs","10;6+"
"shilf","NWs","<= 7;5"
"greem","NWs","<= 7;5"
"clep","NWs","<= 7;5"
"strofect","NWs","<= 8;5"
"swem","NWs","<= 8;5"
"greem","NWs","<= 9;5"
"shilf","NWs","<= 9;5"
"clep","NWs","<= 9;5"
"chust","NWs","<= 9;5"
"scade","NWs","<= 9;5"
"scade","NWs","<= 10;5"
"shilf","NWs","<= 10;5"
"withound","NWs","<= 10;5"
"lorty","NWs","<= 10;5"
"jubside","NWs","<= 10;5"
"strofect","NWs","10;6+"
"underbably","NWs","10;6+"
"scade","NWs","10;6+"
"sandstrate","NWs","10;6+"
"fize","NWs","10;6+"
"lorty","NWs","10;6+"
