"Item","Scale","Age"
"please","Irregs","<= 7;5"
"other","Irregs","<= 8;5"
"please","Irregs","<= 8;5"
"deadly","Irregs","<= 8;5"
"young","Irregs","<= 9;5"
"other","Irregs","<= 9;5"
"search","Irregs","<= 9;5"
"country","Irregs","<= 10;5"
"fortune","Irregs","<= 10;5"
"search","Irregs","10;6+"
"fortune","Irregs","10;6+"
"country","Irregs","10;6+"
"station","Irregs","10;6+"
"aspire","Irregs","10;6+"
"shoulder","Irregs","10;6+"
"flavour","Irregs","10;6+"
"neighbour","Irregs","10;6+"
"grand","Regs","<= 7;5"
"without","Regs","<= 7;5"
"strong","Regs","<= 7;5"
"best","Regs","<= 7;5"
"fond","Regs","<= 7;5"
"understand","Regs","<= 8;5"
"shelf","Regs","<= 8;5"
"blade","Regs","<= 9;5"
"sporty","Regs","<= 9;5"
"understand","Regs","<= 9;5"
"strong","Regs","<= 9;5"
"shelf","Regs","<= 9;5"
"check","Regs","<= 10;5"
"shelf","Regs","<= 10;5"
"subside","Regs","<= 10;5"
"sporty","Regs","<= 10;5"
"life","Regs","<= 10;5"
"clip","Regs","<= 10;5"
"selfishly","Regs","<= 10;5"
"best","Regs","<= 10;5"
"scarper","Regs","<= 10;5"
"check","Regs","10;6+"
"selfishly","Regs","10;6+"
"impact","Regs","10;6+"
"property","Regs","10;6+"
"shilf","NWs","<= 7;5"
"greem","NWs","<= 7;5"
"clep","NWs","<= 7;5"
"strofect","NWs","<= 8;5"
"swem","NWs","<= 8;5"
"greem","NWs","<= 9;5"
"shilf","NWs","<= 9;5"
"clep","NWs","<= 9;5"
"chust","NWs","<= 9;5"
"scade","NWs","<= 9;5"
"scade","NWs","<= 10;5"
"shilf","NWs","<= 10;5"
"withound","NWs","<= 10;5"
"lorty","NWs","<= 10;5"
"jubside","NWs","<= 10;5"
"strofect","NWs","10;6+"
"underbably","NWs","10;6+"
"scade","NWs","10;6+"
"sandstrate","NWs","10;6+"
"fize","NWs","10;6+"
"lorty","NWs","10;6+"
"said","Total","<= 7;5"
"other","Total","<= 7;5"
"grong","Total","<= 7;5"
"shelf","Total","<= 7;5"
"have","Total","<= 7;5"
"come","Total","<= 7;5"
"understand","Total","<= 7;5"
"lorty","Total","<= 7;5"
"clip","Total","<= 7;5"
"scram","Total","<= 7;5"
"grand","Total","<= 8;5"
"without","Total","<= 8;5"
"strong","Total","<= 8;5"
"said","Total","<= 8;5"
"best","Total","<= 8;5"
"have","Total","<= 8;5"
"come","Total","<= 8;5"
"fond","Total","<= 8;5"
"clip","Total","<= 8;5"
"shilf","Total","<= 8;5"
"grand","Total","<= 9;5"
"please","Total","<= 9;5"
"without","Total","<= 9;5"
"said","Total","<= 9;5"
"have","Total","<= 9;5"
"best","Total","<= 9;5"
"fond","Total","<= 9;5"
"come","Total","<= 9;5"
"dairy","Total","<= 9;5"
"deadly","Total","<= 9;5"
"grand","Total","<= 10;5"
"without","Total","<= 10;5"
"strong","Total","<= 10;5"
"please","Total","<= 10;5"
"fond","Total","<= 10;5"
"understand","Total","<= 10;5"
"said","Total","<= 10;5"
"scram","Total","<= 10;5"
"other","Total","<= 10;5"
"greem","Total","<= 10;5"
"please","Total","10;6+"
"said","Total","10;6+"
"other","Total","10;6+"
"grand","Total","10;6+"
"shilf","Total","10;6+"
"without","Total","10;6+"
"have","Total","10;6+"
"come","Total","10;6+"
"dairy","Total","10;6+"
"strong","Total","10;6+"
